SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
24243.21*H,HELIPORT,74TS,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,ST MARY OF THE PLAINS HOSPITAL,PR,PR,120866.306,33.57397389,366842.603,-101.9007231,3280,DALLAS-FT WORTH,4/1/1987,,,,
24243.5*H,HELIPORT,TA79,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,UNIVERSITY MEDICAL CENTER,PU,PR,121102.303,33.63952861,366802.608,-101.8896133,3231,DALLAS-FT WORTH,6/1/1989,,,,
24248.*H,HELIPORT,XA63,ASW,TEX,TX,TEXAS,COLLIN,TX,LUCAS,AAF,PR,PR,119120.43,33.08900833,347731.47,-96.592075,615,DALLAS-FT WORTH,3/1/2005,,,,
24249.*A,AIRPORT,LFK,ASW,TEX,TX,TEXAS,ANGELINA,TX,LUFKIN,ANGELINA COUNTY,PU,PU,112442.5,31.23402778,341100,-94.75,295,HOUSTON,8/1/1944,N,N,N,Y
24249.02*A,AIRPORT,2TA1,ASW,TEX,TX,TEXAS,ANGELINA,TX,LUFKIN,GRAVCO,PR,PR,113004.662,31.39018389,340887.749,-94.69104139,284,HOUSTON,10/1/1980,,,,
24249.03*A,AIRPORT,25TX,ASW,TEX,TX,TEXAS,ANGELINA,TX,LUFKIN,HUBBARD,PR,PR,112726.19,31.31283056,340719.59,-94.64433056,300,HOUSTON,6/1/2000,,,,
24249.04*H,HELIPORT,XA14,ASW,TEX,TX,TEXAS,ANGELINA,TX,LUFKIN,LMH,PR,PR,112811.1,31.33641667,341078.1,-94.74391667,320,HOUSTON,1/1/2004,,,,
24249.16*A,AIRPORT,TX49,ASW,TEX,TX,TEXAS,ANGELINA,TX,LUFKIN,ONE EYED CREEK,PR,PR,112650,31.29166667,340918,-94.69944444,295,HOUSTON,7/1/2014,,,,
24254.01*H,HELIPORT,29XA,ASW,TEX,TX,TEXAS,CALDWELL,TX,LULING,SETON EDGAR B DAVIS HOSPITAL,PR,PR,106824.89,29.67358056,351557.38,-97.65482778,395,SAN ANTONIO,1/1/2008,,,,
24254.*A,AIRPORT,T91,ASW,TEX,TX,TEXAS,CALDWELL,TX,LULING,THE CARTER MEMORIAL,PU,PU,107021.817,29.7282825,351573.994,-97.65944278,475,SAN ANTONIO,3/1/1949,N,N,N,N
24255.*A,AIRPORT,1TX0,ASW,TEX,TX,TEXAS,MEDINA,TX,LYTLE,LYTLE AIRPARK,PR,PR,105312,29.25333333,355900,-98.86111111,780,SAN ANTONIO,6/1/2007,,,,
24281.12*A,AIRPORT,47TS,ASW,TEX,TX,TEXAS,MADISON,TX,MADISONVILLE,HENSARLING,PR,PR,111772.671,31.04796417,345303.831,-95.91773083,315,HOUSTON,11/1/1986,,,,
24281.1*A,AIRPORT,51R,ASW,TEX,TX,TEXAS,MADISON,TX,MADISONVILLE,MADISONVILLE MUNI,PU,PU,111286.2,30.91283333,345427.2,-95.952,286,HOUSTON,5/1/1979,N,N,,
24284.*A,AIRPORT,2TS4,ASW,TEX,TX,TEXAS,HENDERSON,TX,MALAKOFF,CIRCLE R RANCH,PR,PR,115703,32.13972222,345493,-95.97027778,395,DALLAS-FT WORTH,2/1/1985,,,,
24284.4*A,AIRPORT,XS55,ASW,TEX,TX,TEXAS,HILL,TX,MALONE,GIZMO FIELD,PR,PR,114945.56,31.92932222,348979.99,-96.93888611,551,HOUSTON,11/1/2000,,,,
24285.71*A,AIRPORT,6TX7,ASW,TEX,TX,TEXAS,JOHNSON,TX,MANSFIELD,FLYING L AIRPARK,PR,PR,117135.495,32.5376375,349671.034,-97.13084278,680,DALLAS-FT WORTH,,,,,
24285.72*A,AIRPORT,6TX8,ASW,TEX,TX,TEXAS,TARRANT,TX,MANSFIELD,HESS,PR,PR,117201.494,32.55597056,349943.043,-97.20640083,673,DALLAS-FT WORTH,8/1/1975,,,,
24285.6*A,AIRPORT,TS70,ASW,TEX,TX,TEXAS,TARRANT,TX,MANSFIELD,JACK MILLER,PR,PR,117270.49,32.57513611,349513.03,-97.08695278,600,DALLAS-FT WORTH,6/1/1984,,,,
24285.63*H,HELIPORT,0XA9,ASW,TEX,TX,TEXAS,TARRANT,TX,MANSFIELD,METHODIST MANSFIELD MEDICAL CENTER,PR,PR,117244,32.56777778,349543,-97.09527778,633,DALLAS-FT WORTH,11/1/2006,,,,
24285.712*H,HELIPORT,04XS,ASW,TEX,TX,TEXAS,TARRANT,TX,MANSFIELD,SCHMIDTS,PR,PR,117295.49,32.58208056,349713.036,-97.14251,625,DALLAS-FT WORTH,7/1/1977,,,,
24285.62*A,AIRPORT,TA83,ASW,TEX,TX,TEXAS,JOHNSON,TX,MANSFIELD,SHORT FIELD,PR,PR,117143.495,32.53985972,349892.041,-97.19223361,650,DALLAS-FT WORTH,6/1/1989,,,,
24285.61*H,HELIPORT,TX58,ASW,TEX,TX,TEXAS,TARRANT,TX,MANSFIELD,SOUTHWEST CUSTOM AIRCRAFT,PR,PR,117312.49,32.58680278,349860.041,-97.18334472,670,DALLAS-FT WORTH,8/1/1988,,,,
