SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
03513.03*H,HELIPORT,FL70,ASO,ORL,FL,FLORIDA,HILLSBOROUGH,FL,TAMPA,WFLA-TV 8,PR,PR,100598,27.94388889,296862,-82.46166667,60,MIAMI,2/1/2001,,,,
03522.6*H,HELIPORT,FA58,ASO,ORL,FL,FLORIDA,PINELLAS,FL,TARPON SPRINGS,FLORIDA HOSPITAL NORTH PINELLAS,PR,PR,101277.48,28.13263333,297930,-82.75833333,39,JACKSONVILLE,5/1/2001,,,,
03525.01*C,SEAPLANE BASE,3FA8,ASO,NONE,FL,FLORIDA,LAKE,FL,TAVARES,SEAREY CENTRAL,PR,PR,103558,28.76611111,294286,-81.74611111,67,JACKSONVILLE,9/1/2011,,,,
03525.*C,SEAPLANE BASE,FA1,ASO,ORL,FL,FLORIDA,LAKE,FL,TAVARES,TAVARES,PU,PU,103682,28.80055556,294220,-81.72777778,63,JACKSONVILLE,4/1/2010,,,,
03526.01*H,HELIPORT,FD05,ASO,ORL,FL,FLORIDA,MONROE,FL,TAVERNIER,MARINERS HOSPITAL,PR,PR,90016.4,25.00455556,289889.21,-80.52478056,9,MIAMI,1/1/1990,,,,
03526.*A,AIRPORT,FA81,ASO,ORL,FL,FLORIDA,MONROE,FL,TAVERNIER,TAVERNAERO PARK,PR,PR,90031.467,25.00874083,289919.22,-80.53311667,10,MIAMI,9/1/1963,,,,
03531.*A,AIRPORT,X21,ASO,ORL,FL,FLORIDA,BREVARD,FL,TITUSVILLE,ARTHUR DUNN AIR PARK,PU,PU,103041.186,28.62255167,291007.4749,-80.83540969,30,JACKSONVILLE,5/1/1941,N,N,N,Y
03531.4*H,HELIPORT,46FL,ASO,ORL,FL,FLORIDA,BREVARD,FL,TITUSVILLE,HOSPITAL,PR,PR,103065.985,28.62944028,290959.194,-80.82199833,10,JACKSONVILLE,8/1/1981,,,,
03531.3*A,AIRPORT,TTS,ASO,ORL,FL,FLORIDA,BREVARD,FL,TITUSVILLE,NASA SHUTTLE LANDING FACILITY,PU,PR,103013.6,28.61488889,290499.7,-80.69436111,8,JACKSONVILLE,7/1/1976,N,N,,
03532.*A,AIRPORT,TIX,ASO,ORL,FL,FLORIDA,BREVARD,FL,TITUSVILLE,SPACE COAST RGNL,PU,PU,102653.28,28.5148,290877.22,-80.79922778,33,JACKSONVILLE,10/1/1944,N,N,N,Y
03532.41*A,AIRPORT,6FL8,ASO,ORL,FL,FLORIDA,LEVY,FL,TRENTON,AMES FIELD,PR,PR,106515.2,29.58755556,298336.5,-82.87125,64,JACKSONVILLE,7/1/1977,N,N,,
03532.42*A,AIRPORT,35FD,ASO,ORL,FL,FLORIDA,GILCHRIST,FL,TRENTON,RUSH,PR,PR,106892.4,29.69233333,297825,-82.72916667,80,JACKSONVILLE,5/1/2005,,,,
03532.4*A,AIRPORT,FL33,ASO,ORL,FL,FLORIDA,GILCHRIST,FL,TRENTON,WATSON FLIGHT STRIP,PR,PR,106805.854,29.66829278,298174.436,-82.82623222,55,JACKSONVILLE,7/1/1965,,,,
03533.32*A,AIRPORT,43FL,ASO,ORL,FL,FLORIDA,MARION,FL,UMATILLA,FLY'N R RANCH,PR,PR,104342.943,28.98415083,294541.287,-81.81702417,78,JACKSONVILLE,9/1/1989,,,,
03533.3*A,AIRPORT,X23,ASO,ORL,FL,FLORIDA,LAKE,FL,UMATILLA,UMATILLA MUNI,PU,PU,104127.195,28.92422083,293946.525,-81.6518125,107,JACKSONVILLE,3/1/1948,N,N,N,N
03533.8*A,AIRPORT,X59,ASO,ORL,FL,FLORIDA,BREVARD,FL,VALKARIA,VALKARIA,PU,PU,100659.1,27.96086111,290010,-80.55833333,26,MIAMI,12/1/1946,N,N,N,Y
03535.02*A,AIRPORT,FL34,ASO,ORL,FL,FLORIDA,OKALOOSA,FL,VALPARAISO,EGLIN TEST SITE B6,MA,PR,110274.69,30.63185833,312289.84,-86.74717778,120,NEW ORLEANS,,N,N,N,Y
03534.*A,AIRPORT,VPS,ASO,ORL,FL,FLORIDA,OKALOOSA,FL,VALPARAISO/DESTIN-FT WALTON BEACH,EGLIN AFB/DESTIN-FT WALTON BEACH,MA,PR,109739.5899,30.48321942,311493.7596,-86.52604433,84,NEW ORLEANS,3/1/1941,N,N,Y,N
03538.*A,AIRPORT,VNC,ASO,ORL,FL,FLORIDA,SARASOTA,FL,VENICE,VENICE MUNI,PU,PU,97457.8,27.07161111,296785.2,-82.44033333,17,MIAMI,7/1/1944,N,N,N,Y
03539.4*A,AIRPORT,FD25,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,VERO BEACH,FLY IN RANCHES,PR,PR,99225.125,27.56253472,289799.195,-80.49977639,25,MIAMI,10/1/1984,,,,
03539.1*A,AIRPORT,FL74,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,VERO BEACH,INDIAN RIVER AERODROME,PR,PR,99355.121,27.59864472,289807.194,-80.50199833,25,MIAMI,9/1/1972,,,,
03539.5*H,HELIPORT,3FD7,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,VERO BEACH,INDIAN RIVER MEMORIAL HOSPITAL,PR,PR,99590.113,27.66392028,289426.184,-80.39616222,11,MIAMI,10/1/1987,,,,
03539.2*A,AIRPORT,X52,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,VERO BEACH,NEW HIBISCUS AIRPARK,PR,PU,99476.118,27.632255,289899.196,-80.52755444,25,MIAMI,7/1/1974,N,N,,
03539.6*A,AIRPORT,23FD,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,VERO BEACH,SCOTT 2000,PR,PR,99170.131,27.54725861,290383.206,-80.66200167,27,MIAMI,8/1/1991,,,,
03539.3*A,AIRPORT,FL89,ASO,ORL,FL,FLORIDA,ST LUCIE,FL,VERO BEACH,TRIPLE M,PR,PR,99195.126,27.55420167,289583.19,-80.439775,20,MIAMI,12/1/1972,,,,
03540.*A,AIRPORT,VRB,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,VERO BEACH,VERO BEACH MUNI,PU,PU,99560,27.65555556,289504.6,-80.41794444,23,MIAMI,4/1/1940,N,N,N,Y
03540.4*H,HELIPORT,NVI,ASO,ORL,FL,FLORIDA,SANTA ROSA,FL,WALLACE,PACE NOLF,MN,PR,110518.751,30.69965306,313904.331,-87.1956475,180,NEW ORLEANS,10/1/2000,,,,
03540.7*A,AIRPORT,48FL,ASO,ORL,FL,FLORIDA,ESCAMBIA,FL,WALNUT HILL,MC KINNON AIRPARK,PR,PR,110930.674,30.81407611,314909.934,-87.47498167,227,NEW ORLEANS,9/1/1989,,,,
03544.*A,AIRPORT,49FL,ASO,ORL,FL,FLORIDA,ESCAMBIA,FL,WALNUT HILL,MIKE'S AG AIR,PR,PR,111517.657,30.97712694,314981.933,-87.49498139,210,NEW ORLEANS,9/1/1989,,,,
03546.1*A,AIRPORT,CHN,ASO,ORL,FL,FLORIDA,HARDEE,FL,WAUCHULA,WAUCHULA MUNI,PU,PU,99053.7,27.51491667,294769.7,-81.88047222,107,MIAMI,11/1/1983,,,,
03547.01*A,AIRPORT,2FL0,ASO,ORL,FL,FLORIDA,WAKULLA,FL,WAUSAU,CRYSTAL VILLAGE,PR,PR,109644.7,30.45686111,308469.74,-85.68603889,113,NEW ORLEANS,2/1/1999,,,,
03547.*A,AIRPORT,15FD,ASO,ORL,FL,FLORIDA,WASHINGTON,FL,WAUSAU,ORANGE HILL,PR,PR,110370.696,30.65852667,307907.743,-85.52992861,260,NEW ORLEANS,6/1/1991,,,,
03549.11*A,AIRPORT,2FD1,ASO,ORL,FL,FLORIDA,MARION,FL,WEIRSDALE,HOBBY HILL,PR,PR,104311.94,28.97553889,294907.298,-81.91869389,95,JACKSONVILLE,7/1/1990,,,,
03549.1*A,AIRPORT,97FL,ASO,ORL,FL,FLORIDA,MARION,FL,WEIRSDALE,LOVE FIELD,PR,PR,104262.943,28.96192861,294809.295,-81.89147083,80,JACKSONVILLE,6/1/1983,,,,
03550.01*A,AIRPORT,3FL0,ASO,ORL,FL,FLORIDA,PUTNAM,FL,WELAKA,MOUNT ROYAL,PR,PR,105969.89,29.43608056,293964.28,-81.65674444,41,JACKSONVILLE,3/1/1999,,,,
03550.7*A,AIRPORT,7FL2,ASO,ORL,FL,FLORIDA,COLUMBIA,FL,WELLBORN,WELLBORN,PR,PR,108883.82,30.24550556,298002.455,-82.77845972,180,JACKSONVILLE,11/1/1990,,,,
03550.9*H,HELIPORT,FA59,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WELLINGTON,NITV,PR,PR,95882.29,26.63396944,288807.16,-80.22421111,18,MIAMI,5/1/2001,,,,
03552.7*H,HELIPORT,27FL,ASO,ORL,FL,FLORIDA,PASCO,FL,WESLEY CHAPEL,WESLEY CHAPEL MEDICAL CENTER,PR,PR,101500.93,28.19470278,296461.7,-82.35047222,174,JACKSONVILLE,4/1/2013,,,,
03552.*C,SEAPLANE BASE,1FL5,ASO,ORL,FL,FLORIDA,BAY,FL,WEST BAY,WEST BAY CREEK,PR,PR,109087.71,30.30214167,309111.76,-85.86437778,0,NEW ORLEANS,10/1/1999,,,,
03553.*A,AIRPORT,FD74,ASO,ORL,FL,FLORIDA,OSCEOLA,FL,WEST MELBOURNE,GAMEBIRD GROVES AIRSTRIP,PR,PR,101037.064,28.06585111,291248.217,-80.9022825,36,JACKSONVILLE,5/1/1992,,,,
03554.2*A,AIRPORT,F45,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,NORTH PALM BEACH COUNTY GENERAL AVIATION,PU,PU,96645.3,26.84591667,288800.4,-80.22233333,22,MIAMI,4/1/1994,,,,
03555.21*H,HELIPORT,5FL5,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,PALM BEACH COUNTY JUDICIAL CENTER,PR,PR,96173.23,26.71478611,288194.14,-80.05392778,297,MIAMI,8/1/1996,,,,
03555.1*A,AIRPORT,LNA,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,PALM BEACH COUNTY PARK,PU,PU,95735,26.59305556,288306.2326,-80.08506461,14,MIAMI,2/1/1943,N,N,N,Y
03555.*A,AIRPORT,PBI,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,PALM BEACH INTL,PU,PU,96059.4,26.68316667,288344.1,-80.09558333,19,MIAMI,4/1/1940,Y,N,N,Y
03555.19*H,HELIPORT,39FL,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,PALM BEACH SHERIFF'S RANGE,PU,PR,96181.233,26.71700917,288719.163,-80.1997675,20,MIAMI,6/1/1981,,,,
03555.16*H,HELIPORT,03FL,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,RANGER,PR,PR,96061.237,26.68367694,288674.162,-80.18726722,20,MIAMI,3/1/1980,,,,
03555.15*H,HELIPORT,5FD2,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,RYBOVICH,PR,PR,96297.228,26.74923,288177.147,-80.0492075,10,MIAMI,3/1/1988,,,,
03555.13*H,HELIPORT,64FD,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,ST MARYS HOSPITAL,PR,PR,96323.18,26.75643889,288220.56,-80.06126667,13,MIAMI,8/1/1972,,,,
03555.2*H,HELIPORT,55FL,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,THE MURPHY COMPANY,PR,PR,96074.236,26.68728778,288206.149,-80.05726361,15,MIAMI,2/1/1982,,,,
03554.1*A,AIRPORT,FD38,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,WELLINGTON AERO CLUB,PR,PR,95928.1149,26.64669858,289062.16,-80.29504444,20,MIAMI,6/1/1985,,,,
03555.14*H,HELIPORT,FL39,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,WELLINGTON MEDICAL CENTER,PR,PR,95895.243,26.6375675,288736.164,-80.20449,60,MIAMI,4/1/1993,,,,
03555.22*H,HELIPORT,7FL5,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,WEST PALM BEACH POLICE STATION,PR,PR,96170.37,26.71399167,288208.23,-80.05784167,25,MIAMI,5/1/1999,,,,
03555.23*H,HELIPORT,FL51,ASO,ORL,FL,FLORIDA,PALM BEACH,FL,WEST PALM BEACH,WPTV,PR,PR,96170,26.71388889,288231,-80.06416667,33,MIAMI,1/1/2001,,,,
03553.4*H,HELIPORT,FD13,ASO,ORL,FL,FLORIDA,BROWARD,FL,WESTON,CLEVELAND CLINIC FLORIDA HOSPITAL,PR,PR,93920,26.08888889,289317,-80.36583333,8,MIAMI,6/1/2003,,,,
03559.01*H,HELIPORT,73FL,ASO,ORL,FL,FLORIDA,LEVY,FL,WILLISTON,WILLISTON MEMORIAL HOSPITAL,PR,PR,105778.892,29.38302556,296837.374,-82.45482611,45,JACKSONVILLE,7/1/1990,,,,
03559.*A,AIRPORT,X60,ASO,ORL,FL,FLORIDA,LEVY,FL,WILLISTON,WILLISTON MUNI,PU,PU,105680.5132,29.35569811,296898.9138,-82.4719205,75,JACKSONVILLE,2/1/1944,N,N,N,Y
03559.1*A,AIRPORT,96FL,ASO,ORL,FL,FLORIDA,LEVY,FL,WILLISTON,WINGS FIELD,PR,PR,105272.892,29.24247,297163.379,-82.54538306,100,JACKSONVILLE,5/1/1980,,,,
03561.01*A,AIRPORT,23FL,ASO,ORL,FL,FLORIDA,HILLSBOROUGH,FL,WIMAUMA,GYRO TOWN USA,PR,PR,99664,27.68444444,296079,-82.24416667,65,MIAMI,3/1/2004,,,,
03561.*A,AIRPORT,FD77,ASO,ORL,FL,FLORIDA,HILLSBOROUGH,FL,WIMAUMA,WIMAUMA AIR PARK,PR,PR,99763.111,27.71197528,296218.327,-82.28286861,100,MIAMI,7/1/1986,,,,
03564.09*H,HELIPORT,2FL6,ASO,ORL,FL,FLORIDA,COLUMBIA,FL,WINFIELD,I-10 HELISTOP,PR,PR,108983.7,30.27325,298023.81,-82.78439167,125,,5/1/2015,,,,
03566.*A,AIRPORT,FL95,ASO,ORL,FL,FLORIDA,INDIAN RIVER,FL,WINTER BEACH,BROOCKE AIR PATCH,PR,PR,99751.108,27.70864111,289630.188,-80.45283,22,MIAMI,,,,,
03568.15*C,SEAPLANE BASE,FD69,ASO,NONE,FL,FLORIDA,ORANGE,FL,WINTER GARDEN,LAKE APOPKA SOUTH,PR,PR,102864.5,28.57347222,293741.8,-81.59494444,64,JACKSONVILLE,10/1/2015,,,,
03570.14*H,HELIPORT,7FL1,ASO,ORL,FL,FLORIDA,POLK,FL,WINTER HAVEN,ADAMS EXECUTIVE,PR,PR,100861,28.01694444,294030,-81.675,137,JACKSONVILLE,8/1/1996,,,,
03570.2*C,SEAPLANE BASE,F57,ASO,ORL,FL,FLORIDA,POLK,FL,WINTER HAVEN,JACK BROWNS,PR,PU,101007,28.0575,294346.1,-81.76280556,140,JACKSONVILLE,,N,N,N,N
03570.21*C,SEAPLANE BASE,FL42,ASO,ORL,FL,FLORIDA,POLK,FL,WINTER HAVEN,KING SEAAERO,PR,PR,100939.074,28.03863167,294313.285,-81.75369028,133,JACKSONVILLE,11/1/1977,,,,
03570.11*H,HELIPORT,72FD,ASO,ORL,FL,FLORIDA,POLK,FL,WINTER HAVEN,LAZY B I RANCH,PR,PR,100907.074,28.02974278,293956.278,-81.65452167,125,JACKSONVILLE,2/1/1993,,,,
03570.4*H,HELIPORT,FA31,ASO,ORL,FL,FLORIDA,POLK,FL,WINTER HAVEN,LEGOLAND FLORIDA,PR,PR,100763,27.98972222,294095,-81.69305556,151,MIAMI,12/1/1997,,,,
03570.13*H,HELIPORT,60FD,ASO,ORL,FL,FLORIDA,POLK,FL,WINTER HAVEN,WINTER HAVEN HOSPITAL,PR,PR,100901,28.02805556,294209,-81.72472222,175,JACKSONVILLE,8/1/1992,,,,
03570.*A,AIRPORT,GIF,ASO,ORL,FL,FLORIDA,POLK,FL,WINTER HAVEN,WINTER HAVEN'S GILBERT,PU,PU,101026.5,28.06291667,294311.9,-81.75330556,145,JACKSONVILLE,4/1/1940,N,N,N,Y
03572.*C,SEAPLANE BASE,FD98,ASO,ORL,FL,FLORIDA,SEMINOLE,FL,WINTER SPRINGS,FERGUSON,PR,PR,103372.985,28.71471806,292572.237,-81.27006583,3,JACKSONVILLE,4/1/1993,,,,
03573.*A,AIRPORT,FL54,ASO,ORL,FL,FLORIDA,UNION,FL,WORTHINGTON,FLYING TIGER FIELD,PR,PR,107767.86,29.93551667,296678.4,-82.41066667,115,JACKSONVILLE,1/1/2001,,,,
03573.5*U,ULTRALIGHT,FL48,ASO,ORL,FL,FLORIDA,UNION,FL,WORTHINGTON SPRINGS,SIERRA AIRPARK,PR,PR,103976,28.88222222,296747,-82.42972222,115,JACKSONVILLE,1/1/2001,,,,
03575.*A,AIRPORT,6FD5,ASO,ORL,FL,FLORIDA,OSCEOLA,FL,YEEHAW JUNCTION,BLANKET BAY,PR,PR,100003.1,27.77863889,291959.237,-81.09978806,65,MIAMI,6/1/1992,,,,
03575.4*A,AIRPORT,83FL,ASO,ORL,FL,FLORIDA,NASSAU,FL,YULEE,NASSAU,PR,PR,110227.854,30.61884833,293521.338,-81.533705,20,JACKSONVILLE,3/1/1983,,,,
03575.5*A,AIRPORT,X61,ASO,ORL,FL,FLORIDA,ORANGE,FL,ZELLWOOD,BOB WHITE FIELD,PR,PU,103446.98,28.73527222,293864.82,-81.62911667,78,JACKSONVILLE,4/1/1963,N,N,N,N
03575.6*A,AIRPORT,FA83,ASO,ORL,FL,FLORIDA,ORANGE,FL,ZELLWOOD,ORLANDO NORTH AIRPARK,PR,PR,103414.98,28.72638333,293943.27,-81.65090833,80,JACKSONVILLE,3/1/1963,,,,
03575.62*A,AIRPORT,FL97,ASO,ORL,FL,FLORIDA,ORANGE,FL,ZELLWOOD,TANGERINE,PR,PR,103536.977,28.76027139,293781.265,-81.60590694,125,JACKSONVILLE,5/1/1977,,,,
03577.1*H,HELIPORT,13FL,ASO,ORL,FL,FLORIDA,PASCO,FL,ZEPHYRHILLS,GATOR LAKE,PR,PR,101796.021,28.2766725,296354.315,-82.32064306,110,JACKSONVILLE,8/1/1980,,,,
03577.*A,AIRPORT,ZPH,ASO,ORL,FL,FLORIDA,PASCO,FL,ZEPHYRHILLS,ZEPHYRHILLS MUNI,PU,PU,101620.7696,28.22799156,295761.5843,-82.15599564,90,JACKSONVILLE,12/1/1942,N,N,N,Y
03580.*A,AIRPORT,FL00,ASO,ORL,FL,FLORIDA,HARDEE,FL,ZOLFO SPRINGS,GRIFFINS PEACE RIVER RANCH,PR,PR,98708.148,27.41893,294597.297,-81.8325825,65,MIAMI,6/1/1965,,,,
03580.01*A,AIRPORT,67FL,ASO,ORL,FL,FLORIDA,MANATEE,FL,ZOLFO SPRINGS,MYAKKA HEAD,PR,PR,98840,27.45555556,295578,-82.105,80,MIAMI,6/1/1998,,,,
03611.*A,AIRPORT,15J,ASO,ATL,GA,GEORGIA,COOK,GA,ADEL,COOK COUNTY,PU,PU,112093.6372,31.13712144,300433.7587,-83.45382186,236,JACKSONVILLE,1/1/1943,N,N,N,N
03618.9*A,AIRPORT,GA14,ASO,ATL,GA,GEORGIA,BAKER,GA,ALBANY,PINEBLOOM PLANTATION,PR,PR,113050.638,31.402955,303561.673,-84.32268694,170,JACKSONVILLE,8/1/1973,,,,
03616.*A,AIRPORT,ABY,ASO,ATL,GA,GEORGIA,DOUGHERTY,GA,ALBANY,SOUTHWEST GEORGIA RGNL,PU,PU,113527.9,31.53552778,303100.1,-84.19447222,196,JACKSONVILLE,4/1/1940,N,N,N,Y
03616.4*H,HELIPORT,2GE6,ASO,ATL,GA,GEORGIA,DOUGHERTY,GA,ALBANY,VIRGIL,PR,PR,113743,31.59527778,303922,-84.42277778,300,JACKSONVILLE,7/1/1999,,,,
03619.*A,AIRPORT,AMG,ASO,ATL,GA,GEORGIA,BACON,GA,ALMA,BACON COUNTY,PU,PU,113529.8,31.53605556,297023.6,-82.50655556,199,JACKSONVILLE,5/1/1941,N,N,N,Y
03623.*A,AIRPORT,ACJ,ASO,ATL,GA,GEORGIA,SUMTER,GA,AMERICUS,JIMMY CARTER RGNL,PU,PU,115598.9,32.11080556,303079.9,-84.18886111,468,ATLANTA,3/1/1941,N,N,N,Y
03623.1*A,AIRPORT,9GA5,ASO,ATL,GA,GEORGIA,SUMTER,GA,AMERICUS,LOWELL FIELD,PR,PR,115409.587,32.05821861,303444.68,-84.29018889,475,ATLANTA,10/1/1982,,,,
03623.01*H,HELIPORT,1GA7,ASO,ATL,GA,GEORGIA,SUMTER,GA,AMERICUS,PHOEBE SUMTER,PR,PR,115443,32.0675,303318,-84.255,424,ATLANTA,1/1/2012,,,,
03627.*A,AIRPORT,0GE7,ASO,ATL,GA,GEORGIA,COLUMBIA,GA,APPLING,CARPENTER,PR,PR,120673,33.52027778,296541,-82.3725,450,ATLANTA,11/1/2004,,,,
03630.011*A,AIRPORT,4GA8,ASO,ATL,GA,GEORGIA,EARLY,GA,ARLINGTON,ANDREWS,PR,PR,113095.634,31.41545389,304966.706,-84.71297389,245,JACKSONVILLE,5/1/1978,,,,
03630.*A,AIRPORT,GA22,ASO,ATL,GA,GEORGIA,CALHOUN,GA,ARLINGTON,JORDANS,PR,PR,113178.631,31.43850861,304949.705,-84.70825139,250,JACKSONVILLE,5/1/1922,,,,
03633.12*A,AIRPORT,GE12,ASO,ATL,GA,GEORGIA,TURNER,GA,ASHBURN,RICHTER AIRPARK,PR,PR,114295,31.74861111,300865,-83.57361111,357,JACKSONVILLE,2/1/2004,,,,
03633.1*A,AIRPORT,75J,ASO,ATL,GA,GEORGIA,TURNER,GA,ASHBURN,TURNER COUNTY,PU,PU,114068.6,31.68572222,301075.9,-83.63219444,389,JACKSONVILLE,,N,N,N,Y
03637.*A,AIRPORT,AHN,ASO,ATL,GA,GEORGIA,CLARKE,GA,ATHENS,ATHENS/BEN EPPS,PU,PU,122215.1,33.94863889,299973.3,-83.32591667,812,ATLANTA,7/1/1940,N,N,N,Y
03637.03*H,HELIPORT,7GA0,ASO,ATL,GA,GEORGIA,CLARKE,GA,ATHENS,ST MARYS HEALTH CARE SYSTEMS,PR,PR,122212.414,33.94789278,300269,-83.40805556,736,ATLANTA,1/1/1980,,,,
03640.23*A,AIRPORT,FFC,ASO,ATL,GA,GEORGIA,FAYETTE,GA,ATLANTA,ATLANTA RGNL FALCON FIELD,PU,PU,120087.8,33.35772222,304461.1,-84.57252778,807,ATLANTA,10/1/1970,,,N,
03825.52*A,AIRPORT,4A7,ASO,ATL,GA,GEORGIA,HENRY,GA,ATLANTA,ATLANTA SOUTH RGNL,PU,PU,120203.66,33.38990556,303591.72,-84.33103333,882,ATLANTA,6/1/1970,N,N,,
03639.05*H,HELIPORT,GA66,ASO,ATL,GA,GEORGIA,FULTON,GA,ATLANTA,BRIDGE BUILDING,PR,PR,121714.81,33.80966944,303822.54,-84.39515,939,ATLANTA,4/1/1989,,,,
03639.04*H,HELIPORT,GA11,ASO,ATL,GA,GEORGIA,FULTON,GA,ATLANTA,CHILDRENS HEALTH CARE ATL AT SCOTTISH RITE,PR,PR,122066,33.90722222,303675,-84.35416667,1158,ATLANTA,11/1/1988,,,,
03639.03*H,HELIPORT,60GA,ASO,ATL,GA,GEORGIA,DE KALB,GA,ATLANTA,CHILDREN'S HEALTHCARE OF ATLANTA-EGLESTON,PR,PR,121660,33.79444444,303553,-84.32027778,1024,ATLANTA,1/1/1987,,,,
03642.*A,AIRPORT,RYY,ASO,ATL,GA,GEORGIA,COBB,GA,ATLANTA,COBB COUNTY INTL-MCCOLLUM FIELD,PU,PU,122447.4,34.01316667,304549.3,-84.59702778,1040,ATLANTA,12/1/1942,N,N,N,Y
03641.*A,AIRPORT,CVC,ASO,ATL,GA,GEORGIA,NEWTON,GA,ATLANTA,COVINGTON MUNI,PU,PU,121076.31,33.63230833,301850.81,-83.84744722,809,ATLANTA,4/1/1961,N,N,N,Y
03643.*A,AIRPORT,PDK,ASO,ATL,GA,GEORGIA,DE KALB,GA,ATLANTA,DEKALB-PEACHTREE,PU,PU,121952.2,33.87561111,303487.1,-84.30197222,998,ATLANTA,,N,Y,N,Y
03639.08*H,HELIPORT,7GA8,ASO,ATL,GA,GEORGIA,DE KALB,GA,ATLANTA,EMORY UNIVERSITY HOSPITAL,PR,PR,121652.378,33.79232722,303571.728,-84.32548,1051,ATLANTA,5/1/1991,,,,
03639.07*H,HELIPORT,GA64,ASO,ATL,GA,GEORGIA,FULTON,GA,ATLANTA,EMORY UNIVERSITY HOSPITAL MIDTOWN,PR,PR,121572,33.77,303801,-84.38916667,1050,ATLANTA,11/1/1989,,,,
03639.*A,AIRPORT,FTY,ASO,ATL,GA,GEORGIA,FULTON,GA,ATLANTA,FULTON COUNTY AIRPORT-BROWN FIELD,PU,PU,121604.855,33.77912639,304276.9176,-84.521366,841,ATLANTA,9/1/1949,N,Y,N,Y
03639.12*H,HELIPORT,1GE8,ASO,ATL,GA,GEORGIA,DE KALB,GA,ATLANTA,GRADY MEMORIAL HOSPITAL,PR,PR,121508,33.75222222,303776,-84.38222222,1227,ATLANTA,7/1/1999,,,,
03640.*A,AIRPORT,ATL,ASO,ATL,GA,GEORGIA,FULTON,GA,ATLANTA,HARTSFIELD - JACKSON ATLANTA INTL,PU,PU,121092.1186,33.63669961,303940.3104,-84.427864,1026,ATLANTA,9/1/1942,N,Y,N,Y
03640.36*H,HELIPORT,7GA6,ASO,ATL,GA,GEORGIA,FULTON,GA,ATLANTA,HILTON GARDEN INN DOWNTOWN,PR,PR,121543,33.76194444,303824,-84.39555556,1170,ATLANTA,10/1/2008,,,,
03640.34*H,HELIPORT,GA54,ASO,ATL,GA,GEORGIA,COBB,GA,ATLANTA,INTERSTATE NORTH,PR,PR,122043.37,33.90093611,304089,-84.46916667,875,ATLANTA,5/1/1975,,,,
03639.14*H,HELIPORT,9GE8,ASO,NONE,GA,GEORGIA,FULTON,GA,ATLANTA,LEGACY MEDICAL CENTER,PR,PR,121465,33.74027778,304241,-84.51138889,857,ATLANTA,10/1/2008,,,,
03941.5*A,AIRPORT,CCO,ASO,ATL,GA,GEORGIA,COWETA,GA,ATLANTA,NEWNAN COWETA COUNTY,PU,PU,119921.636,33.31156556,305171.1195,-84.76975542,970,ATLANTA,,N,N,N,Y
03640.4*H,HELIPORT,GA55,ASO,ATL,GA,GEORGIA,FULTON,GA,ATLANTA,NORTHSIDE HOSPITAL,PU,PR,122074.368,33.90954667,303669.732,-84.35270333,1050,ATLANTA,8/1/1969,,,,
03750.01*A,AIRPORT,PUJ,ASO,ATL,GA,GEORGIA,PAULDING,GA,ATLANTA,PAULDING NORTHWEST ATLANTA,PU,PU,122083.355,33.91204306,305786.23,-84.94061944,1289,ATLANTA,11/1/2008,,,,
03642.01*H,HELIPORT,52GA,ASO,ATL,GA,GEORGIA,FAYETTE,GA,ATLANTA,RABBIT HOLE,PR,PR,120737,33.53805556,304108,-84.47444444,900,ATLANTA,6/1/2005,,,,
03640.24*H,HELIPORT,73GA,ASO,ATL,GA,GEORGIA,FULTON,GA,ATLANTA,RUFFWOOD,PR,PR,121977,33.8825,303969,-84.43583333,780,ATLANTA,6/1/1991,,,,
